"","scenario","No fishing","-50%  fishing","+25%  fishing","+75%  fishing"
"1","Baleen.whales","1.04309812663184","1.02161977045351","0.990001571750161","0.99137895776334"
"2","Toothed.whales","1.04805175785876","1.0221476735584","0.994826180283809","0.988530486740853"
"3","Seals","1.51979106552995","1.2211721542813","0.927199503483892","0.832394079042707"
"4","Surface.feeding.seabirds","0.356911116077541","0.688797072805578","0.893724656899398","1.14019870614191"
"5","Juvenile.sharks","0.746162868447007","0.864253257839122","1.02614698962175","0.926607503979194"
"6","Spurdog","1.22536418415194","1.07604402217403","0.973573845145311","0.838074348259637"
"7","Large.piscivorous.sharks","2.71552872022529","1.69498024201105","0.943460536003728","0.597205407669543"
"8","Small.sharks","0.884929157196394","0.937972372153008","1.02050793857327","0.999038025051631"
"9","Juvenile.rays","0.996861024459784","0.99266206765224","0.980872429067915","1.12581942068914"
"10","Starry.ray...others","1.05726484360914","1.02204014877553","0.993225367453594","0.940573539540612"
"11","Thornback...Spotted.ray","1.03749777668634","1.0355060641386","1.01466134712678","0.922701070518869"
"12","Skate...cuckoo.ray","1.6378190143029","1.33259696969104","0.990056303665663","0.85433246816963"
"13","Cod..juvenile.0.2.","1.04021953414951","0.975960393599583","0.995930765231012","0.501194609597634"
"14","Cod..adult.","2.02101191158384","1.5215613192998","0.852691853402841","0.318792179394545"
"15","Whiting..juvenile.0.1.","1.61891697293884","1.23551648629846","0.866260908114601","2.03478875251184"
"16","Whiting..adult.","1.72765070553896","1.28761197646794","0.837052281220364","2.24354046981597"
"17","Haddock..juvenile.0.1.","2.4754624233469","1.16919803279116","1.40801940394195","3.11868653765341"
"18","Haddock..adult.","1.19312020002785","1.07656630608405","0.970816654925264","0.939544860982791"
"19","Saithe..juvenile.0.3.","1.16016865615258","1.09049185327916","0.980768996770727","0.268907993297989"
"20","Saithe..adult.","1.48426867852506","1.27644734705666","0.924416019246987","0.176628402407663"
"21","Hake","3.20161551848783","1.86546965448072","0.815304869962467","0.989552068485686"
"22","Blue.whiting","1.66021878659886","1.2316483566326","0.98072812156824","1.86874428311711"
"23","Norway.pout","0.952074019669591","0.96330165112439","1.0096859854418","0.954206689357816"
"24","Other.gadoids..large.","1.13619704923989","1.09259270105362","1.02540696312539","0.792783383421985"
"25","Other.gadoids..small.","0.849689033441237","0.924223066470898","1.03058820195729","1.21335730673275"
"26","Monkfish","1.83385889105664","1.39472696099272","0.994769517952075","0.747189850780432"
"27","Gurnards","0.930103557685088","0.953247563355636","1.00733967710876","1.16001751354306"
"28","Herring..juvenile.0.1.","1.0698927677428","1.05701725686255","0.9783730895918","1.00678484924822"
"29","Herring..adult.","0.729295253059821","0.878169244825062","1.02802939314654","0.768777920298796"
"30","Sprat","0.952065732319243","0.979236899809172","1.04476534222432","0.872116607928355"
"31","Mackerel","1.50567238513526","1.22726476106684","0.941495087085028","0.274977057053433"
"32","Horse.mackerel","2.18954455479784","1.45459983353019","0.990177577126399","1.89342217768712"
"33","Sandeels","1.34926012883003","1.16356059956396","0.935475828892988","1.23765789253863"
"34","Plaice","1.9671321608181","1.36071594353268","0.856159170751796","0.88134737596707"
"35","Dab","0.897619889148815","0.947514485711954","1.02651842173391","1.01085318713271"
"36","Long.rough.dab","0.697376069195043","0.836651552962908","1.0613592271328","1.2181425361819"
"37","Flounder","0.99875895346585","1.01064842195009","1.03523152917684","0.919728216101983"
"38","Sole","0.914490759130494","0.943376217105797","0.964948192292953","0.825374026026272"
