;Baleen whales;Toothed whales;Seals;Surface-feeding seabirds;Juvenile sharks;Spurdog;Large piscivorous sharks;Small sharks;Juvenile rays;Starry ray + others;Thornback & Spotted ray;Skate + cuckoo ray;Cod (juvenile 0-2);Cod (adult);Whiting (juvenile 0-1);Whiting (adult);Haddock (juvenile 0-1);Haddock (adult);Saithe (juvenile 0-3);Saithe (adult);Hake;Blue whiting;Norway pout;Other gadoids (large);Other gadoids (small);Monkfish;Gurnards;Herring (juvenile 0-1);Herring (adult);Sprat;Mackerel;Horse mackerel;Sandeels;Plaice;Dab;Long-rough dab;Flounder;Sole;Lemon sole;Witch;Turbot;Megrim;Halibut;Dragonets;Catfish (Wolf-fish);Large demersal fish;Small demersal fish;Miscellaneous filterfeeding pelagic fish;Squid & cuttlefish;Fish larvae;Carnivorous zooplankton;Herbivorous & Omnivorous zooplankton (copepods);Gelatinous zooplankton;Large crabs;Nephrops;Epifaunal macrobenthos (mobile grazers);Infaunal macrobenthos;Shrimp;Small mobile epifauna (swarming crustaceans);Small infauna (polychaetes);Sessile epifauna;Meiofauna;Benthic microflora (incl Bacteria protozoa));Planktonic microflora (incl Bacteria protozoa);Diving seabirds;Phytoplankton;Detritus - DOM -water column;Detritus - POM - sediment;Discards;Demersal trawl + dem seine;Beam trawl;Industrial trawl;Pelagic trawl;Drift and fixed nets;Nephrops trawl;Gears using hooks;Shrimp trawlers;Dredges;Pots;Other
Flounder;0;0;0,002448214;0;0;0;0;0;0;0;0;0;0;0,001638655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1088081;0,2538855;0;0;0,06336;0;0;0;0;0;0;0;0;0
Sole;0;0;0,007881531;3,17E-05;0;0;0;1,18E-05;0;0,000861814;0,000683168;0,002509493;0,003042288;0,008557423;0,000835045;0,007983319;1,78E-05;5,64E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000674396;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02758455;0,06436395;0;0,000732669;0,05512798;9,91E-05;1,01E-04;0,004114655;0,001213532;1,87E-06;3,33E-04;1,27E-05;9,56E-06;0
Lemon sole;0;0;0,005154135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000806739;0;0;0;0;0;0;0;0;0;0;0,03520352;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05436175;0,1268441;0;0,009897063;0,003953805;2,29E-05;7,22E-06;8,75E-05;0,000704165;2,44E-07;6,53E-07;9,07E-07;1,76E-07;1,56E-05
Witch;0;0;0,005368891;0;0;0,001778625;0;0;0;6,63E-05;0;8,44E-05;8,01E-05;0,000546219;0;0;0;2,82E-05;0;0;0;0;0;0;0;0,000264154;5,76E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02806219;0,06547844;0;0,01260026;1,42E-05;0,000441018;3,89E-06;7,18E-06;0,00325764;0;1,47E-08;0;1,10E-07;1,11E-06
Turbot;0;0;0,002276409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006306572;0,01471533;0;0,00101922;0,002935557;3,59E-06;2,35E-06;0,000161655;0,000133673;2,54E-07;1,77E-06;3,24E-06;3,79E-07;0,007
Megrim;0;0;0,002362312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000264154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01183658;0,02761869;0;0,003450538;2,06E-06;6,70E-06;1,36E-08;1,36E-06;1,75E-05;0;0;1,14E-08;5,53E-08;5,62E-08
Halibut;0;0;0;0;0;0;0;0;0;0,000132587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007360592;0,01717471;0;0,001259575;8,98E-07;1,92E-05;0;4,15E-06;5,18E-05;1,98E-07;0;2,15E-09;9,04E-09;2,96E-07
Dragonets;0;3,00E-05;0,002276409;0;2,50E-06;0,007005047;8,69E-05;9,83E-05;0;0,003646135;0;0,007243787;0,00424636;0,00455;0;0,000939214;5,86E-06;0,000141009;0;0;0;0;0;0;0,00575618;0,000264154;0,01353689;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004053644;0,003235457;0;0;0;3,20E-05;0,007148596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01878048;0,04382113;0;0;0,00E+00;0;0;0,00E+00;0;0,00E+00;0,00E+00;0;0;0
Catfish (Wolf-fish);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001826422;0,00426165;0;0,005331796;8,43E-06;1,92E-06;2,68E-08;2,15E-05;2,64E-05;4,24E-07;0;0;1,26E-07;1,22E-06
Large demersal fish;0;0;0;0,002189554;0;0;0;0;0;0,000132587;0;0,000158161;0;4,55E-05;0;0,000939214;0;2,82E-05;0;7,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,60E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,48E-05;0;0,004255912;0,009930461;0;0,004367984;0,000921947;1,14E-05;0,00105018;0,000507869;0,001620003;0,00027866;3,66E-06;7,97E-07;6,14E-06;4,73E-07
Small demersal fish;0;8,99E-05;0,02222721;0,000396659;2,50E-05;0,00276371;1,73E-05;1,48E-05;0,00041004;0,006231577;0,01056634;0,001128217;0,0565111;0,007191876;0,01294319;0,03287249;0,000124355;0,000338421;0;7,97E-05;0,000517388;0;0;0,00113758;0,0159189;0,002962804;0,01088712;0;0;0;0,000259498;0,01758926;0;0;0;0,05263473;0,008080808;0,0053568;0,00411264;0,0020172;0,006434807;0,000653415;0;0;0;0,004211362;0,0492309;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000278248;0;0,08247313;0,1924373;0;0,0431221;1,05E-01;0,000448368;0,000134994;7,58E-03;0,009692937;1,33E-05;5,47E-03;0,000217828;1,41E-05;1,34E-05
Miscellaneous filterfeeding pelagic fish;0,01710075;0;0;0,000396659;9,25E-06;0;0;2,43E-05;0;0;0;0;8,01E-05;0;0,000231957;0,007278908;0;8,46E-05;0,01046256;0,008297206;0,000341846;0,02125476;0;0;0;0,000264154;0,000115208;0;0;0;0,000259498;0;0;0;0;0;0;0;0;0;0;0,002582042;0;0;0;0,000358414;0;0,01557949;0,01907809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01794946;0,04188208;0;0;0;0,009657317;0,000558762;4,64E-07;3,32E-06;0;0,00E+00;0;4,14E-08;0
Squid & cuttlefish;0,01710075;0,03284276;0;0,000587055;3,08E-05;0,006019963;0,000328386;0,000153935;0,0002278;0,001126987;0,000759076;0,000832983;0,000802635;0,001092437;0,00988136;0,01972349;0,000775736;0,000705044;0,006415722;0,00193333;3,70E-05;0;0;0,008255581;0,000920528;0,006468193;0,009447024;0;0;0;0,02205732;0;0;0;0;0,00419958;0;0;0;0;0;0;0,008456228;0;0;2,56E-06;0,03439419;0,001643035;0,0479652;0;0;0;0,0211816;0;0;0;0;0;0;0;0;0;0;0;3,48E-05;0;0,05443286;0,12701;0;4,75E-05;0,002025608;0;0;1,27E-06;7,63E-05;0;7,57E-07;2,39E-06;0;3,21E-07
Fish larvae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3129313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009269073;0;0,964276;0;0,09527467;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8457991;0,5638661;0;0;0;0;0;0;0;0;0;0;0;0
Carnivorous zooplankton;0,03420149;0;0;0,002221288;4,98E-05;0,001450264;0;7,10E-06;0,00373592;0,000132587;0,000242904;0,000358499;0,00424636;0,000455182;0,04736558;0,1190454;0,005939415;0,01675184;0,3327292;0,1000498;0;1,260907;1,890048;0,001803877;0,1155806;0;0,006048399;0,4516833;3,59753;0;0,2226491;1,146977;0,6116914;0;0;0;0,04128413;0;0;0;0;0;0;0;0,00036414;0,04335527;0,000269758;0,04368713;0,1964504;0;2,003333;0;0,0845988;0;0;0;0;0,0814;0;0;0;0;0;0;3,48E-05;0;4,798553;3,199035;0;0;0;0;0;0,00E+00;0;0;0,00E+00;0;0;0
Herbivorous & Omnivorous zooplankton (copepods);0;0;0;0,000809183;0;0;0;0;0;0;0;0;0,09631624;0;0,03321621;0;0,002972669;0;0,2294854;0,08337484;0;0,2731862;3,150301;0,003233978;0,3456016;0;0;1,115243;7,794067;2,445696;0,1485625;0;5,917217;0;0,14;0;0;0;0;0;0;0,000295091;0;0,00139725;0;0,004896188;0,1228749;0,2038831;0,260164;5,582832;28,42843;0;0,0845988;0;0;0;0;0,1628;0;0;0;0;0;0;0,000208686;0;163,781;109,1873;0;0;0;0;0;0;0;0;0;0;0;0
Gelatinous zooplankton;0,06833512;0;0;0;6,73E-05;0,009768757;0;0;0;0;0;0;0;4,55E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006744914;0;0;0,05704571;0;0;0;0;0;0;0;0;5,12E-05;0;0,009740851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07480042;0,04986694;0;0;0;0;0;0,00E+00;0;0;0;0;0;0
Large crabs;0;0;0;0,004601238;7,03E-05;0,003639341;0;0,000676132;0,0437376;0,04269293;0,05809966;0,005746527;0,03226912;0,04095;0,009463838;0,03709895;0,000242788;0,005696753;0;0;6,16E-06;0;0;0,001868882;0,01153499;0;0,03882496;0;0;0;0;0;0;0,03154239;0,112;0,042;0,03912391;0;0;0;0;0,002919288;0,01032838;0,002484;0,0012138;0;0,04046015;0;0;0;0;0;0;0,003332933;0;0;0;0;0;0;0;0;0;0;0,003617228;0;0,1358833;0,5435333;0;0,00228601;0,004138268;2,14E-06;3,79E-06;7,45E-04;0,000833542;1,85E-05;8,82E-06;2,68E-06;0,006222396;7,97E-05
Nephrops;0;0;0;0;1,85E-05;0,002791074;0;0,000111307;0;0;0;0,000158161;0,001613456;0,02275;0;0,001408821;1,18E-05;0,01418548;0;0;0;0;0;0;0,01730249;0,000542586;0,00046083;0;0;0;0;0,0879463;0;0;0;0,01945805;0,09760976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06533869;0;0;0;0;0;0;0;0;0;0;0;0;0,1123311;0,2621059;0;0,005312111;0,000286818;8,75E-05;3,48E-07;2,21E-06;0,01325805;8,78E-07;6,05E-10;1,61E-06;0,000105637;5,32E-07
Epifaunal macrobenthos (mobile grazers);0;0;0;1,59E-05;0,000835334;0,002435348;1,18E-05;0,001795716;0,02993292;0,1051518;0,0312132;0,001929568;0,1041121;0,0448175;0,04736558;0,05588323;0,006691465;0,05679831;0,000197407;0,000161111;3,39E-05;0,1006475;0;0;0,1611495;0,000806739;0,005760381;0;0;0;0,0058387;0;0,007755199;0,204728;2,89184;0,2946705;0,1792179;0,0053568;0,02485728;0,0608358;0,003860884;0,000295091;0,000378637;0,02872125;0,01863302;0,000812831;0,1806032;0,007804417;0;0;0;0;0;0,953021;0;7,573678;0;0;0;0;0;0;0;0;0;0;14,21464;33,16749;0;0,000125163;0,000455765;8,75E-06;8,55E-06;2,09E-05;0,000157412;7,17E-07;1,66E-07;0,005744705;1,03E-05;0,00011504
Infaunal macrobenthos;0;0;0;0,002443416;0,000149265;0,002161714;0;0,001077548;0,00145792;0,001325867;0,00030363;6,33E-05;0,09270439;0,01183473;0,03790174;0,09298218;0,01486334;0,04261284;0,007205349;0;0;0;1,260253;0;0,2068224;0;0,00167051;0;0;0;0,000129749;0,03675368;0,05428639;0,3457415;2,68464;0,39858;0,05704571;0,0482949;0,06005664;0,0085854;0,003214568;0;0;0,04269375;0,00269178;0,001632063;0,1074891;0;0;0;0;0;0;0,9738106;0,45325;30,29471;0;0;0;0;0;0;0;0;0,1250031;0;56,75706;132,4332;0;0;0;0;0;0;0;0;0;0;0;0
Shrimp;0;0;0;0,001872228;0,00019527;0,005281149;0;0,000219062;0,02396456;0,007159684;0,01770165;0,008867577;0,03611859;0,004096638;0,01419576;0,09015553;0,002339052;0,002481754;0,005132578;0,000966665;3,08E-06;0,2102554;0;0,006906736;0,001151236;0;0,01716593;0;0;0;0,000259498;0;0;0,02955859;0,0112;0,05683432;0,005280528;0;0;0;0,002840386;0,002192101;0,000126212;0,02499525;0,00087346;0,003948952;0,02711071;0,004224947;0,01862814;0;0;0;0,0211816;0,003332933;0;0;0;0,01628;0;0;0;0;0;0;0;0;0,102703;0,2396403;0;1,30E-05;0,000385635;0,009179372;0,000533971;5,65E-06;3,86E-05;1,74E-07;0,102;1,58E-06;1,09E-06;0
Small mobile epifauna (swarming crustaceans);0;0;0;0;0,000172767;0;0;0,000244521;0,1090706;0,05389651;0,01465016;0,007760447;0,01974678;0,000637255;0,01011332;0,007044104;0,002410112;0,002650964;0,01401588;0,004591657;0;0;0,3148978;0,001397598;0,03460498;0;0,08076054;0,0857752;0,2396027;0;0,04151965;0;0,150257;0,3832698;3,68256;0,004619538;0,1220922;0;0;0;0;0,000147545;0;0,06846526;0;0,00024961;0,1772312;0,003579469;0,1445255;0;3,9555;0;0,03385653;0,06533869;0,27195;7,573678;13,6;0,0814;8,742857;0;0;0;0;0;0;0;7,202144;16,805;0;0;0;0;0;0;0;0;0;0;0;0
Small infauna (polychaetes);0;0;0;0,000793317;0,00030178;0,000410452;0;0,000445821;0,04628896;0,02134647;0,001836964;0,004723751;0,04037654;0,000318627;0,01544832;0,0305214;0,01298618;0,02408429;0,001085737;0,000322222;0;0,00041676;0;0,001950137;0,2076299;0;0,000230415;0;0;0;0,1562177;0;1,817625;0,9321868;1,54448;0,3960204;0;0,1770674;0,3977165;0,1685592;0;0;0;0,1363095;2,38E-05;0,001356852;0,05300751;0,00325673;0,01907809;0;0;0;0;0,3441831;0,3626;37,86839;49,86666;0,1628;0;22,5;0;0;0;0;0,000173905;0;32,30423;75,37653;0;0;0;0;0;0;0;0;0;0;0;0
Sessile epifauna;0;0;0;0,003649257;2,15E-05;0;0;5,15E-05;0;0;0;0;0,000882986;4,55E-05;0;0,000469607;0,000307926;0,002058727;0;0;0;0;0;0;0;0;0;0;0;0;0,003373472;0;0;0,02777318;0,1232;0;0,03912391;0;0,118057;0,0060024;0;0;0;0;0;0,000326413;0;0;0;0;0;0;0;0,2326453;0,1813;0;0;0;0;0;0;0;0;0;0,0370766;0;16,14709;37,67654;0;0;0;0;0;0,00E+00;0;0;0,00E+00;0;0;0
Meiofauna;0;0;0;0;1,25E-06;0;0;5,98E-05;0,00191352;0;0;0;0;0;0;0;1,18E-05;0,000366623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4633732;0,006744914;0,01008;0;0;0,1824242;0;0;0;0;0;0,00543375;0;5,12E-05;0,03938472;0;0;0;0;0;0;0;0;0;22,66667;0,1628;17,48571;67,5;0;23,88315;0;0;0;0;29,06101;67,80902;0;0;0;0;0;0,00E+00;0;0;0,00E+00;0;0;0
Benthic microflora (incl Bacteria protozoa));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1633467;0,1813;15,14736;136;0,2442;23,31429;180;0;358,2472;198,87;32,8896;0;0;322,9513;322,9513;0;0;0;0;0;0;0;0;0;0;0;0
Planktonic microflora (incl Bacteria protozoa);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,305712;0,2364025;0,1249625;0,4614344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,006665;24;0,04232067;0,1633467;0,09065001;15,14736;49,86666;0,19536;20,4;22,5;95,55;0;198,87;164,448;0;0;359,5876;359,5876;0;0;0;0;0;0;0;0;0;0;0;0
Diving seabirds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0214128;0,04996321;0;0;0;0;0;0;0;0;0;0;0;0
Phytoplankton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,305712;0;0;0,2103598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0479652;1,395708;0;432;0,04232067;0;0,1813;7,573678;0;0;0;0;13,65;0;0;0;0;0;762,5668;932,0261;0;0;0;0;0;0;0;0;0;0;0;0
Detritus - DOM -water column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0,05439;7,573678;45,33333;0,1628;11,65714;67,5;0;0;397,74;1068,912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Detritus - POM - sediment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03626;22,72104;136;0,27676;34,97143;89,99998;27,3;95,53259;1193,22;378,2304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Discards;0;0;0;0,07099363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3323033;0;0;0;0,0814;0;0;0;0;0;0;0,01116471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Demersal trawl + dem seine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beam trawl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industrial trawl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pelagic trawl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drift and fixed nets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nephrops trawl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gears using hooks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shrimp trawlers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dredges;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pots;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
